knot_count,num_parameters,data_jacobian_rank,data_jacobian_condition,train_rmse,validation_rmse
5,6,6,4.537527e+01,6.17229640e-03,7.44631564e-03
9,10,10,1.232061e+02,1.10759543e-03,1.27906464e-03
17,18,18,4.605141e+02,2.25103541e-04,4.00816810e-04
