smoothness_weight,train_rmse,validation_rmse,log_curvature_smoothness
0.0,2.25103541e-04,4.00816810e-04,7.24179661e-02
1.0e-05,2.30657653e-04,2.76316408e-04,4.76077431e-03
1.0e-04,2.36432036e-04,2.61921753e-04,1.37708561e-03
3.0e-04,2.41076552e-04,2.53617824e-04,9.05567780e-04
1.0e-03,2.47272914e-04,2.48650890e-04,6.97923672e-04
3.0e-03,2.54017042e-04,2.49517470e-04,6.25861757e-04
1.0e-02,2.66210108e-04,2.57051687e-04,5.85065575e-04
1.0e-01,3.96857247e-04,3.38105419e-04,5.08827110e-04
