step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
82,0.082,0,0.008101,3.3329e-10,0,-331.485,7.33991e-12,
83,0.083,0,0.007851,3.98458e-10,0,-339.521,6.45883e-12,
84,0.084,0,0.004381,3.88073e-10,0,-347.653,5.2367e-12,
85,0.085,0,0.025482,3.20755e-10,0,-355.881,3.36087e-12,
86,0.08600000000000001,0,0.008452,3.36725e-10,0,-364.205,7.13385e-12,
87,0.08700000000000001,0,0.006644,4.12787e-10,0,-372.626,6.20304e-12,
88,0.088,0,0.006764,3.79748e-10,0,-381.143,3.9293e-12,
89,0.089,0,0.007798,4.54416e-10,0,-389.756,4.73932e-12,
90,0.09,0,0.014171,3.73717e-10,0,-398.466,4.69669e-12,
91,0.091,0,0.028975,3.88854e-10,0,-407.271,3.6664e-12,
92,0.092,0,0.045669,3.24776e-10,0,-416.173,5.69855e-12,
93,0.093,0,0.010157,3.94444e-10,0,-425.171,6.49436e-12,
94,0.094,0,0.003556,4.45354e-10,0,-434.265,5.32907e-12,
95,0.095,0,0.004696,5.02516e-10,0,-443.456,5.4925e-12,
96,0.096,0,0.003098,4.15087e-10,0,-452.743,5.88329e-12,
97,0.097,0,0.003207,3.77409e-10,0,-462.126,4.90985e-12,
98,0.098,0,0.003257,4.50602e-10,0,-471.605,7.18359e-12,
99,0.099,0,0.003566,4.01485e-10,0,-481.18,4.91696e-12,
100,0.1,0,0.002907,4.15446e-10,0,-490.852,5.67013e-12,
101,0.101,0,0.003512,4.69569e-10,0,-500.62,6.84963e-12,
102,0.10200000000000001,0,0.002997,4.24786e-10,0,-510.484,4.34852e-12,
103,0.10300000000000001,0,0.00341,6.14621e-10,0,-520.445,4.63984e-12,
104,0.10400000000000001,0,0.003337,4.58605e-10,0,-530.501,5.13012e-12,
105,0.105,0,0.003284,4.56142e-10,0,-540.654,3.7943e-12,
106,0.106,0,0.004273,4.82182e-10,0,-550.904,5.08749e-12,
107,0.107,0,0.002971,5.38235e-10,0,-561.249,5.20117e-12,
108,0.108,0,0.003729,5.25586e-10,0,-571.69,5.03064e-12,
109,0.109,0,0.003112,3.95656e-10,0,-582.228,5.01643e-12,
110,0.11,0,0.003056,4.46023e-10,0,-592.862,5.62039e-12,
111,0.111,0,0.0033,4.89529e-10,0,-603.593,6.27409e-12,
112,0.112,0,0.003413,4.5088e-10,0,-614.419,6.07514e-12,
113,0.113,0,0.003099,4.62311e-10,0,-625.342,4.98801e-12,
114,0.114,0,0.004689,5.40911e-10,0,-636.361,5.77671e-12,
115,0.115,0,0.004168,4.73929e-10,0,-647.476,5.28644e-12,
116,0.116,0,0.003169,3.2176e-10,0,-658.688,3.87956e-12,
117,0.117,0,0.003229,4.4454e-10,0,-669.996,3.1477e-12,
118,0.11800000000000001,0,0.003382,5.27341e-10,0,-681.4,6.70752e-12,
119,0.11900000000000001,0,0.003117,4.85421e-10,0,-692.9,6.53699e-12,
120,0.12,0,0.003279,3.61484e-10,0,-704.496,3.05533e-12,
121,0.121,0,0.005502,4.30476e-10,0,-716.189,4.67537e-12,
122,0.122,0,0.00303,4.59785e-10,0,-727.978,2.34479e-12,
123,0.123,0,0.003748,4.6414e-10,0,-739.863,3.85114e-12,
124,0.124,0,0.005427,4.57597e-10,0,-751.844,5.28644e-12,
125,0.125,0,0.005255,6.41273e-10,0,-763.922,4.86722e-12,
126,0.126,0,0.005635,5.12435e-10,0,-776.096,4.21352e-12,
127,0.127,0,0.023631,5.49077e-10,0,-788.366,6.62226e-12,
128,0.128,0,0.003051,4.28316e-10,0,-800.732,3.94351e-12,
129,0.129,0,0.003519,5.50385e-10,0,-813.195,3.58824e-12,
130,0.13,0,0.003278,4.64343e-10,0,-825.754,3.82983e-12,
131,0.131,0,0.003318,4.71415e-10,0,-838.409,2.82796e-12,
132,0.132,0,0.004194,4.90468e-10,0,-851.16,6.56541e-12,
133,0.133,0,0.004117,4.82685e-10,0,-864.008,4.9738e-12,
134,0.134,0,0.003712,5.49477e-10,0,-876.951,4.63274e-12,
135,0.135,0,0.021636,4.5482e-10,0,-889.991,4.89564e-12,
136,0.136,0,0.004997,4.37415e-10,0,-903.128,1.94689e-12,
137,0.137,0,0.00498,5.12607e-10,0,-916.36,2.89191e-12,
138,0.138,0,0.007404,4.38249e-10,0,-929.689,1.71951e-12,
139,0.139,0,0.003842,4.05749e-10,0,-943.114,4.89564e-12,
140,0.14,0,0.005247,4.22982e-10,0,-956.635,5.47828e-12,
141,0.14100000000000001,0,0.004183,5.64664e-10,0,-970.252,4.11404e-12,
142,0.14200000000000002,0,0.004238,5.99091e-10,0,-983.966,4.64695e-12,
143,0.14300000000000002,0,0.004003,5.43736e-10,0,-997.776,3.78719e-12,
144,0.14400000000000002,0,0.007987,4.35463e-10,0,-1011.68,5.04485e-12,
145,0.145,0,0.004647,4.77702e-10,0,-1025.68,6.06803e-12,
146,0.146,0,0.005386,5.08429e-10,0,-1039.78,4.08562e-12,
147,0.147,0,0.00454,5.2484e-10,0,-1053.98,4.80327e-12,
148,0.148,0,0.004617,5.0749e-10,0,-1068.27,4.4551e-12,
149,0.149,0,0.005729,5.43792e-10,0,-1082.66,4.33431e-12,
150,0.15,0,0.040556,4.38305e-10,0,-1097.14,6.38778e-12,
151,0.151,0,0.011755,4.81336e-10,0,-1111.72,3.33955e-12,
152,0.152,0,0.010345,3.71295e-10,0,-1126.4,5.30065e-12,
153,0.153,0,0.005825,4.39051e-10,0,-1141.17,5.53513e-12,
154,0.154,0,0.004634,4.83627e-10,0,-1156.04,2.15294e-12,
155,0.155,0,0.004774,5.14108e-10,0,-1171.0,8.88178e-13,
156,0.156,0,0.005105,5.50723e-10,0,-1186.06,4.14957e-12,
157,0.157,0,0.008726,4.93713e-10,0,-1201.22,1.50635e-12,
158,0.158,0,0.010099,4.85275e-10,0,-1216.47,3.63798e-12,
159,0.159,1,0.078109,1.00515e-05,0,-1231.82,0.0013061,0.0454821
160,0.16,1,0.062203,2.7402e-05,0,-1247.13,0.0214531,0.193786
161,0.161,2,0.070127,0.00079209,0,-1262.35,0.112999,0.42411
162,0.162,5,0.135172,0.00143668,0,-1277.4,0.368242,0.921984
163,0.163,6,0.204304,8.14523e-05,0,-1291.84,0.946464,1.53253
164,0.164,9,0.045548,0.000165474,0,-1305.86,2.0393,1.98927
165,0.165,10,0.06074,0.000136525,0,-1319.66,3.7217,2.22441
166,0.166,14,0.053268,1.19499e-05,0,-1333.21,5.97049,2.37227
167,0.167,14,0.042978,0.00168211,0,-1346.35,8.74921,2.55608
168,0.168,17,0.051498,8.34786e-05,0,-1358.98,12.0566,2.82251
169,0.169,23,0.061405,0.00118958,0,-1371.02,15.9627,3.19784
170,0.17,30,0.08481,0.000639262,0,-1382.27,20.5607,3.81331
171,0.171,47,0.139982,1.71172e-05,0,-1392.15,25.922,5.25838
172,0.17200000000000001,61,0.194823,5.5846e-06,0,-1399.52,32.4729,7.28604
173,0.17300000000000001,76,0.053106,6.01125e-06,0,-1404.75,40.9049,9.26603
174,0.17400000000000002,87,0.080566,0.000532146,0,-1407.77,51.6018,11.379
175,0.17500000000000002,97,0.106387,1.72671e-05,0,-1407.42,64.8239,13.7818
176,0.176,108,0.052289,8.51571e-05,0,-1403.75,80.8588,16.5623
177,0.177,126,0.074267,0.00036907,0,-1396.17,99.8537,19.4928
178,0.178,138,0.242837,0.00041872,0,-1384.61,121.992,22.0878
179,0.179,150,0.134506,0.00170669,0,-1370.56,147.299,23.8321
180,0.18,163,0.100941,0.00128107,0,-1354.56,175.474,25.1133
181,0.181,180,0.258457,1.1695e-05,0,-1336.15,206.219,26.4528
182,0.182,199,0.095535,8.27267e-05,0,-1314.87,239.39,28.0558
183,0.183,214,0.0818,2.27564e-05,0,-1290.64,274.968,29.729
184,0.184,238,0.042539,1.64164e-06,0,-1263.72,312.882,31.4362
185,0.185,264,0.069285,0.000326095,0,-1234.03,352.997,33.4891
186,0.186,307,0.13997,0.00150242,0,-1200.81,394.962,37.223
187,0.187,359,0.078028,0.000249505,0,-1161.27,438.635,43.2193
188,0.188,408,0.149569,4.95696e-05,0,-1116.3,485.032,48.6461
189,0.189,452,0.158979,0.000202773,0,-1067.91,534.472,53.6768
190,0.19,483,0.061647,0.00143965,0,-1013.32,586.298,58.2549
191,0.191,493,0.060049,4.53069e-05,0,-957.868,639.626,59.1525
192,0.192,494,0.060268,1.34901e-06,0,-905.318,692.371,58.4616
193,0.193,489,0.065975,1.30318e-06,0,-855.283,743.422,57.4799
194,0.194,484,0.272742,6.55645e-06,0,-807.433,793.552,56.2625
195,0.195,479,0.100508,0.000393387,0,-760.643,844.057,54.6444
196,0.196,468,0.070212,0.000536388,0,-713.664,895.694,52.665
197,0.197,463,0.081571,8.31546e-06,0,-665.674,948.64,50.5927
198,0.198,454,0.190505,0.000100652,0,-616.215,1002.65,48.7104
199,0.199,442,0.085363,7.93245e-06,0,-565.228,1057.14,47.2148
200,0.2,430,0.169538,2.2882e-05,0,-513.121,1111.26,46.2062
201,0.201,413,0.098382,2.80723e-05,0,-460.68,1164.04,45.7271
202,0.202,406,0.093103,8.49174e-06,0,-408.845,1214.58,45.7322
203,0.203,395,0.174295,0.0006365,0,-358.535,1262.18,46.1717
204,0.20400000000000001,390,0.432407,0.000186564,0,-310.474,1306.3,46.9696
205,0.20500000000000002,387,0.152847,0.0012222,0,-265.236,1346.52,48.0367
206,0.20600000000000002,385,0.058631,0.000605176,0,-223.308,1382.51,49.2834
207,0.20700000000000002,384,0.103215,0.000491388,0,-185.101,1414.02,50.6302
208,0.20800000000000002,385,0.115664,0.000687579,0,-150.916,1440.94,52.0147
209,0.209,389,0.185393,4.9986e-06,0,-120.905,1463.26,53.3929
210,0.21,392,0.253737,7.41731e-05,0,-95.0904,1480.98,54.7369
211,0.211,400,0.169977,7.8707e-06,0,-73.4399,1494.11,56.0309
212,0.212,407,0.072259,9.41333e-05,0,-55.9547,1502.54,57.2682
213,0.213,414,0.052999,0.000113052,0,-42.7273,1506.09,58.4452
214,0.214,424,0.162329,7.58969e-06,0,-33.9404,1504.52,59.5645
215,0.215,440,0.327174,0.000594458,0,-29.7964,1497.66,60.6301
216,0.216,448,0.160539,0.00024999,0,-30.4634,1485.38,61.5983
217,0.217,463,0.236323,0.000989696,0,-36.1282,1467.67,62.3528
218,0.218,469,0.054475,2.68795e-06,0,-46.9347,1444.65,62.7787
219,0.219,471,0.064059,0.000436053,0,-62.888,1416.57,62.8011
220,0.22,472,0.049369,3.1102e-06,0,-83.8201,1383.75,62.3676
221,0.221,472,0.070797,0.00181674,0,-109.439,1346.66,61.4771
222,0.222,469,0.199062,6.27843e-05,0,-139.307,1305.8,60.1553
223,0.223,463,0.311174,0.000612102,0,-172.88,1261.74,58.4618
224,0.224,457,0.175441,1.27264e-06,0,-209.548,1215.01,56.4875
225,0.225,444,0.158695,2.54249e-05,0,-248.697,1166.09,54.3403
226,0.226,431,0.271481,5.29869e-05,0,-289.759,1115.39,52.1279
227,0.227,419,0.089637,6.87189e-06,0,-332.254,1063.23,49.9407
228,0.228,409,0.070013,4.69705e-05,0,-375.786,1009.93,47.8441
229,0.229,393,0.101946,9.64505e-06,0,-420.016,955.789,45.8766
230,0.23,384,0.07712,0.000504584,0,-464.615,901.163,44.0516
