step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0,energy_sub1
82,0.082,0,0.006433,4.05357e-10,0,-323.546,5.17986e-12,
83,0.083,0,0.004285,4.57692e-10,0,-331.485,8.41283e-12,
84,0.084,0,0.004856,3.99174e-10,0,-339.521,6.36646e-12,
85,0.085,0,0.004381,4.35527e-10,0,-347.653,6.25278e-13,
86,0.08600000000000001,0,0.003702,3.97338e-10,0,-355.881,6.38067e-12,
87,0.08700000000000001,0,0.003468,3.59719e-10,0,-364.205,7.02727e-12,
88,0.088,0,0.004674,4.0311e-10,0,-372.626,7.60281e-12,
89,0.089,0,0.006559,4.53101e-10,0,-381.143,4.64695e-12,
90,0.09,0,0.003832,4.1054e-10,0,-389.756,5.17986e-12,
91,0.091,0,0.004285,3.36254e-10,0,-398.466,7.75202e-12,
92,0.092,0,0.003549,3.179e-10,0,-407.271,5.94014e-12,
93,0.093,0,0.004824,4.91629e-10,0,-416.173,5.3717e-12,
94,0.094,0,0.003926,4.57388e-10,0,-425.171,6.42331e-12,
95,0.095,0,0.00381,4.37155e-10,0,-434.265,6.49436e-12,
96,0.096,0,0.003959,4.78205e-10,0,-443.456,5.66303e-12,
97,0.097,0,0.00493,3.73581e-10,0,-452.743,5.11591e-12,
98,0.098,0,0.004249,3.70809e-10,0,-462.126,5.64881e-12,
99,0.099,0,0.003948,3.5222e-10,0,-471.605,7.13385e-12,
100,0.1,0,0.003887,4.0381e-10,0,-481.18,6.51568e-12,
101,0.101,0,0.005424,4.39452e-10,0,-490.852,6.14619e-12,
102,0.10200000000000001,0,0.004047,4.04649e-10,0,-500.62,6.16041e-12,
103,0.10300000000000001,0,0.004156,4.10692e-10,0,-510.484,5.52092e-12,
104,0.10400000000000001,0,0.005418,3.76675e-10,0,-520.445,5.41434e-12,
105,0.105,0,0.040581,4.22254e-10,0,-530.501,7.27596e-12,
106,0.106,0,0.014685,4.2563e-10,0,-540.654,3.95772e-12,
107,0.107,0,0.010772,5.624e-10,0,-550.904,6.38067e-12,
108,0.108,0,0.004021,3.52237e-10,0,-561.249,4.20641e-12,
109,0.109,0,0.005667,4.50802e-10,0,-571.69,6.20304e-12,
110,0.11,0,0.016461,3.64726e-10,0,-582.228,5.96856e-12,
111,0.111,0,0.0084,5.41731e-10,0,-592.862,7.21201e-12,
112,0.112,0,0.004618,5.09972e-10,0,-603.593,4.76774e-12,
113,0.113,0,0.009235,5.43008e-10,0,-614.419,2.69296e-12,
114,0.114,0,0.005319,5.22904e-10,0,-625.342,6.22435e-12,
115,0.115,0,0.005487,4.65166e-10,0,-636.361,6.43752e-12,
116,0.116,0,0.004584,5.31316e-10,0,-647.476,4.43379e-12,
117,0.117,0,0.005045,3.77243e-10,0,-658.688,3.60956e-12,
118,0.11800000000000001,0,0.004456,4.4944e-10,0,-669.996,4.35563e-12,
119,0.11900000000000001,0,0.004052,3.80656e-10,0,-681.4,5.92593e-12,
120,0.12,0,0.004355,3.42762e-10,0,-692.9,6.16041e-12,
121,0.121,0,0.004975,4.3998e-10,0,-704.496,3.41061e-12,
122,0.122,0,0.004625,4.85442e-10,0,-716.189,4.69669e-12,
123,0.123,0,0.004899,4.50077e-10,0,-727.978,4.39115e-12,
124,0.124,0,0.004525,4.65272e-10,0,-739.863,3.10507e-12,
125,0.125,0,0.004505,5.88675e-10,0,-751.844,5.03775e-12,
126,0.126,0,0.003849,4.1434e-10,0,-763.922,6.2883e-12,
127,0.127,0,0.006878,4.19333e-10,0,-776.096,6.11777e-12,
128,0.128,0,0.004698,4.57228e-10,0,-788.366,6.49436e-12,
129,0.129,0,0.003894,4.26238e-10,0,-800.732,6.74305e-12,
