step,time_sec,active_samples,solver_time_sec,grad_norm,solver_ret,energy_main,energy_sub0
85,0.085,0,0.00614,4.60086e-10,0,-347.653,5.54223e-12
86,0.08600000000000001,0,0.011207,3.65066e-10,0,-355.881,2.63611e-12
87,0.08700000000000001,0,0.006605,4.21032e-10,0,-364.205,5.64171e-12
88,0.088,0,0.006163,3.92707e-10,0,-372.626,5.88329e-12
89,0.089,0,0.006467,4.13636e-10,0,-381.143,4.4551e-12
90,0.09,0,0.006471,3.64474e-10,0,-389.756,5.35749e-12
91,0.091,0,0.008814,4.25853e-10,0,-398.466,5.77671e-12
92,0.092,0,0.010008,3.82334e-10,0,-407.271,6.17462e-12
93,0.093,0,0.009385,4.80649e-10,0,-416.173,5.44276e-12
94,0.094,0,0.007088,4.22553e-10,0,-425.171,5.85487e-12
95,0.095,0,0.004973,5.31889e-10,0,-434.265,4.52616e-12
96,0.096,0,0.007719,5.68634e-10,0,-443.456,4.69669e-12
97,0.097,0,0.022297,4.86438e-10,0,-452.743,6.58673e-12
98,0.098,0,0.006642,4.52349e-10,0,-462.126,6.0183e-12
99,0.099,0,0.005346,4.16194e-10,0,-471.605,5.1088e-12
100,0.1,0,0.004508,4.00049e-10,0,-481.18,6.45883e-12
101,0.101,0,0.004949,4.22292e-10,0,-490.852,5.66303e-12
102,0.10200000000000001,0,0.006208,5.48837e-10,0,-500.62,4.7109e-12
103,0.10300000000000001,0,0.005121,5.20917e-10,0,-510.484,4.42668e-12
104,0.10400000000000001,0,0.004313,4.1239e-10,0,-520.445,3.28981e-12
105,0.105,0,0.008996,4.18646e-10,0,-530.501,4.22062e-12
106,0.106,0,0.009053,4.0524e-10,0,-540.654,3.01981e-12
107,0.107,0,0.007855,4.80261e-10,0,-550.904,6.09646e-12
108,0.108,0,0.006519,4.21482e-10,0,-561.249,7.24754e-12
109,0.109,0,0.00693,4.00679e-10,0,-571.69,4.12825e-12
110,0.11,0,0.02133,3.82244e-10,0,-582.228,6.97042e-12
111,0.111,0,0.005122,4.94478e-10,0,-592.862,5.08749e-12
112,0.112,0,0.005422,4.50651e-10,0,-603.593,7.99361e-12
113,0.113,0,0.00515,4.49092e-10,0,-614.419,4.68958e-12
114,0.114,0,0.00544,5.01529e-10,0,-625.342,4.60432e-12
115,0.115,0,0.031987,4.42895e-10,0,-636.361,3.85825e-12
116,0.116,0,0.006443,4.08014e-10,0,-647.476,4.01457e-12
117,0.117,0,0.003907,4.14057e-10,0,-658.688,6.75726e-12
118,0.11800000000000001,0,0.008393,4.80403e-10,0,-669.996,5.84777e-12
119,0.11900000000000001,0,0.004383,4.90732e-10,0,-681.4,4.25615e-12
120,0.12,0,0.006832,4.37584e-10,0,-692.9,6.84253e-12
121,0.121,0,0.007128,4.6262e-10,0,-704.496,3.84404e-12
122,0.122,0,0.006066,4.84232e-10,0,-716.189,7.19069e-12
123,0.123,0,0.006541,4.2883e-10,0,-727.978,5.44276e-12
124,0.124,0,0.009082,4.07324e-10,0,-739.863,4.1851e-12
125,0.125,0,0.021249,5.26693e-10,0,-751.844,3.43903e-12
126,0.126,0,0.013899,3.82508e-10,0,-763.922,5.26512e-12
127,0.127,0,0.005798,4.71608e-10,0,-776.096,3.31113e-12
